,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
262,3522703,ITAPOLIS,-21.5942,-48.8149,0,35,6555,16,America/Sao_Paulo
263,3522802,ITAPORANGA,-23.7043,-49.4819,0,35,6557,15,America/Sao_Paulo
264,3522901,ITAPUI,-22.2324,-48.7197,0,35,6559,14,America/Sao_Paulo
265,3523008,ITAPURA,-20.6419,-51.5063,0,35,6561,18,America/Sao_Paulo
266,3523107,ITAQUAQUECETUBA,-23.4835,-46.3457,0,35,6563,11,America/Sao_Paulo
267,3523206,ITARARE,-24.1085,-49.3352,0,35,6565,15,America/Sao_Paulo
268,3523305,ITARIRI,-24.2834,-47.1736,0,35,6567,13,America/Sao_Paulo
269,3523404,ITATIBA,-23.0035,-46.8464,0,35,6569,11,America/Sao_Paulo
270,3523503,ITATINGA,-23.1047,-48.6157,0,35,6571,14,America/Sao_Paulo
271,3523602,ITIRAPINA,-22.2562,-47.8166,0,35,6573,19,America/Sao_Paulo
272,3523701,ITIRAPUA,-20.6416,-47.2194,0,35,6575,16,America/Sao_Paulo
273,3523800,ITOBI,-21.7309,-46.9743,0,35,6577,19,America/Sao_Paulo
274,3523909,ITU,-23.2544,-47.2927,0,35,6579,11,America/Sao_Paulo
275,3524006,ITUPEVA,-23.1526,-47.0593,0,35,6581,11,America/Sao_Paulo
276,3524105,ITUVERAVA,-20.3355,-47.7902,0,35,6583,16,America/Sao_Paulo
277,3524204,JABORANDI,-20.6884,-48.4112,0,35,6585,17,America/Sao_Paulo
278,3524303,JABOTICABAL,-21.252,-48.3252,0,35,6587,16,America/Sao_Paulo
279,3524402,JACAREI,-23.2983,-45.9658,0,35,6589,12,America/Sao_Paulo
280,3524501,JACI,-20.8805,-49.5797,0,35,6591,17,America/Sao_Paulo
281,3524600,JACUPIRANGA,-24.6963,-48.0064,0,35,6593,13,America/Sao_Paulo
282,3524709,JAGUARIUNA,-22.7037,-46.9851,0,35,6595,19,America/Sao_Paulo
283,3524808,JALES,-20.2672,-50.5494,0,35,6597,17,America/Sao_Paulo
284,3524907,JAMBEIRO,-23.2522,-45.6942,0,35,6599,12,America/Sao_Paulo
285,3525003,JANDIRA,-23.5275,-46.9023,0,35,6601,11,America/Sao_Paulo
286,3525102,JARDINOPOLIS,-21.0176,-47.7606,0,35,6603,16,America/Sao_Paulo
287,3525201,JARINU,-23.1039,-46.728,0,35,6605,11,America/Sao_Paulo
288,3525300,JAU,-22.2936,-48.5592,0,35,6607,14,America/Sao_Paulo
289,3525409,JERIQUARA,-20.3116,-47.5918,0,35,6609,16,America/Sao_Paulo
290,3525508,JOANOPOLIS,-22.927,-46.2741,0,35,6611,11,America/Sao_Paulo
291,3525607,JOAO RAMALHO,-22.2473,-50.7694,0,35,6613,18,America/Sao_Paulo
292,3525706,JOSE BONIFACIO,-21.0551,-49.6892,0,35,6615,17,America/Sao_Paulo
293,3525805,JULIO MESQUITA,-22.0112,-49.7873,0,35,6617,14,America/Sao_Paulo
